date,newCases,cumCases,newTests,cumTests,newDeaths,cumDeaths,newVaccinated,cumVaccinated,newAdmissions,cumAdmissions,FTSE Open,FTSE Close,FTSE High,FTSE Low,FTSE Volume,maxTemp,minTemp,rain,sun,U.S. cases,U.S. deaths,Central England Temp,HadCET
21/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,1,0,3.4,34
22/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,1,0,4.7,47
23/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,1,0,6.3,63
24/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,2,0,5.9,59
25/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,3,0,6.1,61
26/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,5,0,7,70
27/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,5,0,5.9,59
28/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,5,0,4.1,41
29/1/20,0,0,,,0,0,0,0,,,,,,,,10.1,4.2,109,53.3,5,0,5.6,56
30/1/20,0,0,,,1,1,0,0,,,7483.57,7381.96,7483.57,7357.62,672044352,10.1,4.2,109,53.3,6,0,7.6,76
31/1/20,2,2,,,0,1,0,0,,,7381.96,7286.01,7398.34,7275.03,680623424,10.1,4.2,109,53.3,7,0,9.4,94
1/2/20,0,2,,,0,1,0,0,,,,,,,,11,4.3,130.6,69.1,8,0,9.1,91
2/2/20,0,2,,,1,2,0,0,,,,,,,,11,4.3,130.6,69.1,11,0,8.2,82
3/2/20,0,2,,,0,2,0,0,,,7286.01,7326.31,7359.98,7285.16,625059776,11,4.3,130.6,69.1,11,0,7.7,77
4/2/20,0,2,,,0,2,0,0,,,7326.31,7439.82,7442.08,7326.31,647326656,11,4.3,130.6,69.1,11,0,6.2,62
5/2/20,0,2,,,0,2,0,0,,,7439.82,7482.48,7512.41,7408.45,782508352,11,4.3,130.6,69.1,12,0,4.6,46
6/2/20,1,3,,,0,2,0,0,,,7482.48,7504.79,7533.57,7482.48,649856512,11,4.3,130.6,69.1,12,0,3.8,38
7/2/20,0,3,,,0,2,0,0,,,7504.79,7466.7,7506.26,7441.14,652801600,11,4.3,130.6,69.1,12,0,4.8,48
8/2/20,0,3,,,0,2,0,0,,,,,,,,11,4.3,130.6,69.1,12,0,6.4,64
9/2/20,1,4,,,0,2,0,0,,,,,,,,11,4.3,130.6,69.1,12,0,8.7,87
10/2/20,4,8,,,0,2,0,0,,,7466.7,7446.88,7466.7,7427.85,563649664,11,4.3,130.6,69.1,13,0,5.9,59
11/2/20,0,8,,,0,2,0,0,,,7446.88,7499.44,7529.54,7446.88,678217280,11,4.3,130.6,69.1,13,0,4.4,44
12/2/20,0,8,,,0,2,0,0,,,7499.44,7534.37,7547.65,7499.01,550373824,11,4.3,130.6,69.1,14,0,4.7,47
13/2/20,1,9,,,0,2,0,0,,,7534.37,7452.03,7534.37,7406.94,765546624,11,4.3,130.6,69.1,15,0,5.9,59
14/2/20,0,9,,,0,2,0,0,,,7452.03,7409.13,7472.85,7403.69,613055552,11,4.3,130.6,69.1,15,0,5.9,59
15/2/20,0,9,,,0,2,0,0,,,,,,,,11,4.3,130.6,69.1,15,0,8.3,83
16/2/20,0,9,,,0,2,0,0,,,,,,,,11,4.3,130.6,69.1,15,0,8.2,82
17/2/20,0,9,,,0,2,0,0,,,7409.13,7433.25,7449.95,7409.13,391946880,11,4.3,130.6,69.1,25,0,7,70
18/2/20,0,9,,,0,2,0,0,,,7433.25,7382.01,7433.25,7353.41,690549376,11,4.3,130.6,69.1,25,0,5.8,58
19/2/20,0,9,,,0,2,0,0,,,7382.01,7457.02,7462.01,7382.01,559936256,11,4.3,130.6,69.1,25,0,6,60
20/2/20,0,9,,,0,2,0,0,,,7457.02,7436.64,7480.49,7436.64,733958528,11,4.3,130.6,69.1,27,0,6.7,67
21/2/20,0,9,,,0,2,0,0,,,7436.64,7403.92,7436.7,7370.63,769009792,11,4.3,130.6,69.1,30,0,6.7,67
22/2/20,0,9,,,1,3,0,0,,,,,,,,11,4.3,130.6,69.1,30,0,8.4,84
23/2/20,0,9,,,0,3,0,0,,,,,,,,11,4.3,130.6,69.1,30,0,8.6,86
24/2/20,4,13,,,0,3,0,0,,,7403.92,7156.83,7403.92,7114.45,1061550784,11,4.3,130.6,69.1,43,0,7.2,72
25/2/20,0,13,,,0,3,0,0,,,7156.83,7017.88,7198.23,7004.94,914785088,11,4.3,130.6,69.1,45,0,5,50
26/2/20,0,13,,,0,3,0,0,,,7017.88,7042.47,7044.66,6871.85,968162944,11,4.3,130.6,69.1,60,0,4.1,41
27/2/20,0,13,,,0,3,0,0,,,7042.47,6796.4,7042.47,6729.99,1212910976,11,4.3,130.6,69.1,60,0,3.8,38
28/2/20,6,19,,,0,3,0,0,,,6796.4,6580.61,6796.4,6460.08,1967786368,11,4.3,130.6,69.1,65,0,5.7,57
29/2/20,4,23,,,0,3,0,0,,,,,,,,11,4.3,130.6,69.1,70,1,5.1,51
1/3/20,12,35,,,0,3,0,0,,,,,,,,11.7,3.5,54.6,157.7,88,3,5.4,54
2/3/20,5,40,,,1,4,0,0,,,6580.61,6654.89,6775.18,6496.01,1725714432,11.7,3.5,54.6,157.7,104,6,4.8,48
3/3/20,11,51,,,0,4,0,0,,,6654.89,6718.2,6846.28,6654.89,1214470528,11.7,3.5,54.6,157.7,125,10,4.8,48
